id,query,cleaned_chapters,duration_info
Nn9JbA3LVXg,What should I do if I find holes while altering the lining of a fur coat?,"['Coat construction', 'Patching holes']","{""Video intro"": {""start_time"": 25, ""end_time"": 47, ""duration"": 22}, ""Coat description"": {""start_time"": 47, ""end_time"": 81, ""duration"": 34}, ""Coat construction"": {""start_time"": 81, ""end_time"": 118, ""duration"": 37}, ""Tailoring plan"": {""start_time"": 118, ""end_time"": 169, ""duration"": 51}, ""Inner coat construction"": {""start_time"": 169, ""end_time"": 223, ""duration"": 54}, ""How to cut a fur coat"": {""start_time"": 223, ""end_time"": 258, ""duration"": 35}, ""Halfway done"": {""start_time"": 258, ""end_time"": 293, ""duration"": 35}, ""Patching holes"": {""start_time"": 293, ""end_time"": 317, ""duration"": 24}, ""Tailoring half done"": {""start_time"": 317, ""end_time"": 339, ""duration"": 22}, ""Inside look at tailoring"": {""start_time"": 339, ""end_time"": 392, ""duration"": 53}, ""Tailoring all done"": {""start_time"": 392, ""end_time"": 406, ""duration"": 14}, ""Finished look"": {""start_time"": 406, ""end_time"": 430, ""duration"": 24}, ""Wearing the finished product"": {""start_time"": 430, ""end_time"": 451, ""duration"": 21}}"
O0BfEizly1Q,What are some effective methods to train my dog in maintaining focused attention when performing a passive alert?,"['How to Train Passive Alert', 'Focused Attention']","{""Intro"": {""start_time"": 0, ""end_time"": 45, ""duration"": 45}, ""Passive vs Active Alert"": {""start_time"": 45, ""end_time"": 110, ""duration"": 65}, ""Passive Alert Training Prerequisites"": {""start_time"": 110, ""end_time"": 200, ""duration"": 90}, ""How to Train Passive Alert"": {""start_time"": 200, ""end_time"": 220, ""duration"": 20}, ""Shaping"": {""start_time"": 220, ""end_time"": 330, ""duration"": 110}, ""Intelligent Disobedience"": {""start_time"": 330, ""end_time"": 423, ""duration"": 93}, ""Focused Attention"": {""start_time"": 423, ""end_time"": 461, ""duration"": 38}, ""Pitfalls"": {""start_time"": 461, ""end_time"": 535, ""duration"": 74}}"
ONO4DXIknOI,How does using a guitar footrest at my standing desk help in reducing swelling in my feet?,"['What is a Guitar Footrest', 'Burn More Calories and Reduces Swelling']","{""What is a Guitar Footrest"": {""start_time"": 0, ""end_time"": 42, ""duration"": 42}, ""How It Improves Focus"": {""start_time"": 42, ""end_time"": 52, ""duration"": 10}, ""Burn More Calories and Reduces Swelling"": {""start_time"": 52, ""end_time"": 61, ""duration"": 9}, ""Less Back Pain and Better Ergonomics"": {""start_time"": 61, ""end_time"": 103, ""duration"": 42}, ""How to Use It At Your Desk"": {""start_time"": 103, ""end_time"": 121, ""duration"": 18}, ""Safety Notes"": {""start_time"": 121, ""end_time"": 150, ""duration"": 29}, ""Pick #1: $15 Neewer Extra Sturdy Footrest"": {""start_time"": 150, ""end_time"": 183, ""duration"": 33}, ""Pick #2: $20 Hercules Footrest"": {""start_time"": 183, ""end_time"": 209, ""duration"": 26}, ""Avoid $9 On-Stage Footrest for Safety Reasons"": {""start_time"": 209, ""end_time"": 230, ""duration"": 21}, ""Alternative Option: Use a Stool - Cheaper, More Stable"": {""start_time"": 230, ""end_time"": 241, ""duration"": 11}, ""Fidget Bars: Better Swinging Movement But Heavy & Bulky"": {""start_time"": 241, ""end_time"": 271, ""duration"": 30}, ""Other Reviews & What's Coming Next"": {""start_time"": 271, ""end_time"": 291, ""duration"": 20}}"
MJOoy5scK8Q,How has the overturning of the CDC's conditional sailing order affected Celebrity Cruises' operations?,"['CDC Conditional Sailing Order decision overturned.', 'Celebrity Equinox resumes sailings.']","{""Intro"": {""start_time"": 0.0, ""end_time"": 11.0, ""duration"": 11.0}, ""CDC Conditional Sailing Order decision overturned."": {""start_time"": 11.0, ""end_time"": 41.0, ""duration"": 30.0}, ""Celebrity Equinox resumes sailings."": {""start_time"": 41.0, ""end_time"": 69.0, ""duration"": 28.0}, ""Bahamas Paradise Cruise Line resumes cruises."": {""start_time"": 69.0, ""end_time"": 99.0, ""duration"": 30.0}, ""Stocks"": {""start_time"": 99.0, ""end_time"": 128, ""duration"": 29.0}}"
ESzxIzRgGW8,Would showcasing neighborhood features such as parks and churches be beneficial when creating a video tour for selling my house?,"['How important it is that your real estate agent film a video tour of your home', '<Untitled Chapter 1>']","{""<Untitled Chapter 1>"": {""start_time"": 0, ""end_time"": 9.0, ""duration"": 9.0}, ""The average number of days a home takes to sell in Bryan-College Station"": {""start_time"": 9.0, ""end_time"": 17.0, ""duration"": 8.0}, ""How important it is that your real estate agent film a video tour of your home"": {""start_time"": 17.0, ""end_time"": 37.0, ""duration"": 20.0}, ""Where 99% of homebuyers start their home search"": {""start_time"": 37.0, ""end_time"": 52.0, ""duration"": 15.0}, ""How to find out if your home may sell in less than 30 days"": {""start_time"": 52.0, ""end_time"": 60, ""duration"": 8.0}}"
IbXwSwoSqRk,What are some outdoor activities featured in the vlog besides surfing at Haleiwa?,"['Big session at Haleiwa', 'Tennis with Sally Fitz, Keely Andrew and Bronte Macauley']","{""Intro"": {""start_time"": 0, ""end_time"": 17, ""duration"": 17}, ""Travel to Hawaii"": {""start_time"": 17, ""end_time"": 49, ""duration"": 32}, ""Big session at Haleiwa"": {""start_time"": 49, ""end_time"": 185, ""duration"": 136}, ""Tennis with Sally Fitz, Keely Andrew and Bronte Macauley"": {""start_time"": 185, ""end_time"": 302, ""duration"": 117}, ""Hike with Carissa Moore"": {""start_time"": 302, ""end_time"": 424, ""duration"": 122}}"
xQKXz2gDqb0,"With recent updates, what is required for Canadians to travel across the U.S. border?","['CANADA IMMIGRATION 2021', 'CANADA/U.S. BORDER CLOSURE EXTENDED']","{""CANADA IMMIGRATION 2021"": {""start_time"": 0, ""end_time"": 49, ""duration"": 49}, ""CANADA/U.S. BORDER CLOSURE EXTENDED"": {""start_time"": 49, ""end_time"": 85, ""duration"": 36}, ""EXEMPTIONS FOR FULLY VACCINATED CANADIANS"": {""start_time"": 85, ""end_time"": 127, ""duration"": 42}, ""ESSENTIAL TRAVEL OR HEALTHCARE EXEMPTIONS"": {""start_time"": 127, ""end_time"": 171, ""duration"": 44}}"
UdbpQ8qaNSs,What is the process of removing the wheel and reinstalling the caliper bracket when changing brake pads?,"['Wheel Removal', 'Caliper Bracket Re-installation & Torquing (70 ft-lbs)']","{""Wheel Removal"": {""start_time"": 0, ""end_time"": 17, ""duration"": 17}, ""Brake Caliper Prep"": {""start_time"": 17, ""end_time"": 43, ""duration"": 26}, ""Brake Pad Removal"": {""start_time"": 43, ""end_time"": 63, ""duration"": 20}, ""Brake Pad Bracket Removal"": {""start_time"": 63, ""end_time"": 82, ""duration"": 19}, ""Brake Bleeding Procedure"": {""start_time"": 82, ""end_time"": 199, ""duration"": 117}, ""Caliper Bracket Removal"": {""start_time"": 199, ""end_time"": 246, ""duration"": 47}, ""Brake Rotor Removal"": {""start_time"": 246, ""end_time"": 283, ""duration"": 37}, ""Brake Assembly Cleaning"": {""start_time"": 283, ""end_time"": 297, ""duration"": 14}, ""Brake Rotor Re-installation"": {""start_time"": 297, ""end_time"": 355, ""duration"": 58}, ""Caliper Bracket Re-installation & Torquing (70 ft-lbs"": {""start_time"": 355, ""end_time"": 412, ""duration"": 57}, ""Brake Pad Bracket Re-installation"": {""start_time"": 412, ""end_time"": 427, ""duration"": 15}, ""Brake Pad Installation"": {""start_time"": 427, ""end_time"": 448, ""duration"": 21}, ""Brake Caliper Re-installation & Torquing (23 ft-lbs"": {""start_time"": 448, ""end_time"": 474, ""duration"": 26}, ""Wheel Re-installation & Torquing (100 ft-lbs"": {""start_time"": 474, ""end_time"": 534, ""duration"": 60}}"
uB4-L594o-M,What obligations do employers have regarding communication about FMLA rights and providing leave?,"['FMLA requires covered employers to provide eligible employees up to a total of 12 weeks of unpaid leave in a 12-month period for certain reasons', 'Employers covered by FMLA are required to post information in the workplace explaining rights and responsibilities under the law']","{""The FMLA helps employees balance the demands of their jobs with health needs and family commitments. As a supervisor, you need to know whether, when, and how FMLA applies to your company so you can stay in compliance with the law"": {""start_time"": 10, ""end_time"": 56, ""duration"": 46}, ""FMLA applies only to certain groups, including private sector employers who employ 50 or more employees for 20 or more weeks in the current or preceding calendar year, all public agencies, and all private and public elementary and secondary schools no matter their size"": {""start_time"": 56, ""end_time"": 75, ""duration"": 19}, ""Only certain employees are eligible to take FMLA leave. To be eligible for FMLA leave, an employee must work for a covered employer and must have worked for that employer for at least 12 months"": {""start_time"": 75, ""end_time"": 104, ""duration"": 29}, ""FMLA requires covered employers to provide eligible employees up to a total of 12 weeks of unpaid leave in a 12-month period for certain reasons including the birth and care of a newborn or newly adopted child; to care for an immediate family member with a serious health condition, and when the employee is unable to work because of a serious health conditions"": {""start_time"": 104, ""end_time"": 156, ""duration"": 52}, ""When requesting leave for the first time for an FMLA-qualifying reason, an employee does not need to specifically mention FMLA"": {""start_time"": 156, ""end_time"": 195, ""duration"": 39}, ""Employers covered by FMLA are required to post information in the workplace explaining rights and responsibilities under the law, and to formally respond to a request for FMLA leave\u2014or when the employer obtains knowledge that the leave may be for an FMLA-qualifying reason\u2014within five business days"": {""start_time"": 195, ""end_time"": 268, ""duration"": 73}}"
u7TnphyfhdQ,How do the features of Bison's steel and cast iron scroll chucks compare?,"['What are the most popular scroll chucks from Bison?', 'Steel vs cast iron scroll chucks']","{""Introduction"": {""start_time"": 0.0, ""end_time"": 9.0, ""duration"": 9.0}, ""What are the most popular scroll chucks from Bison?"": {""start_time"": 9.0, ""end_time"": 67.0, ""duration"": 58.0}, ""What are the most popular mount types?"": {""start_time"": 67.0, ""end_time"": 104.0, ""duration"": 37.0}, ""What types of jaws are available?"": {""start_time"": 104.0, ""end_time"": 152.0, ""duration"": 48.0}, ""Steel vs cast iron scroll chucks"": {""start_time"": 152.0, ""end_time"": 176.0, ""duration"": 24.0}, ""Why would you choose a Bison scroll chuck?"": {""start_time"": 176.0, ""end_time"": 245, ""duration"": 69.0}}"
nmrX76iGDFg,Can you explain how using the RACI model helps define accountability within a project team?,"['Use the RACI model to clarify roles', 'Accountable']","{""Intro"": {""start_time"": 0, ""end_time"": 69, ""duration"": 69}, ""Invite stakeholders to your design reviews"": {""start_time"": 69, ""end_time"": 117, ""duration"": 48}, ""Use prototypes to communicate your ideas"": {""start_time"": 117, ""end_time"": 144, ""duration"": 27}, ""Thanks Framer for sponsoring"": {""start_time"": 144, ""end_time"": 196, ""duration"": 52}, ""Use the RACI model to clarify roles"": {""start_time"": 196, ""end_time"": 209, ""duration"": 13}, ""Responsible"": {""start_time"": 209, ""end_time"": 224, ""duration"": 15}, ""Accountable"": {""start_time"": 224, ""end_time"": 241, ""duration"": 17}, ""Consulted"": {""start_time"": 241, ""end_time"": 267, ""duration"": 26}, ""Informed"": {""start_time"": 267, ""end_time"": 315, ""duration"": 48}, ""Outro"": {""start_time"": 315, ""end_time"": 371, ""duration"": 56}}"
2mqWjB50p6c,"In light of your insights on potential changes in the Cats movie, how do these compare to memorable experiences with family members such as watching it live with a cousin?","[""Do you think Pekes & Policles will be in the movie & thoughts on Victoria's new song"", ""Who's your favorite cousin""]","{""What was the cultural impact of Cats"": {""start_time"": 31, ""end_time"": 98, ""duration"": 67}, ""Do you like Victoria"": {""start_time"": 98, ""end_time"": 105, ""duration"": 7}, ""Which cat is Baby Peat Bog most like and why"": {""start_time"": 105, ""end_time"": 179, ""duration"": 74}, ""Do you like the Charlie & the Chocolate Factory musical? & Which foods from Bustopher Jones' song have you eaten"": {""start_time"": 179, ""end_time"": 202, ""duration"": 23}, ""Do you think Pekes & Policles will be in the movie & thoughts on Victoria's new song"": {""start_time"": 202, ""end_time"": 330, ""duration"": 128}, ""Who's your favorite cousin"": {""start_time"": 330, ""end_time"": 356, ""duration"": 26}, ""Tour merch"": {""start_time"": 356, ""end_time"": 493, ""duration"": 137}}"
Al-4YIXHUFw,How might advancements in autonomous vehicles discussed at CES potentially reduce insurance industry revenues?,"['Autonomy Could Shrink Insurance Sector', 'Win a Trip to CES']","{""UAW Approves New FCA Deal"": {""start_time"": 36, ""end_time"": 71, ""duration"": 35}, ""VW Diesel Auction Prices Drop"": {""start_time"": 71, ""end_time"": 146, ""duration"": 75}, ""Autonomy Could Shrink Insurance Sector"": {""start_time"": 146, ""end_time"": 201, ""duration"": 55}, ""Win a Trip to CES"": {""start_time"": 201, ""end_time"": 273, ""duration"": 72}, ""Lincoln\u2019s Mcconaughey Ads a Hit"": {""start_time"": 273, ""end_time"": 424, ""duration"": 151}}"
cCSKdUMunBU,"Could stress be a reason for my painful skin blisters, and how would they present on my hands or feet?","['Dyshidrotic Eczema causes', 'Dyshidrotic Eczema symptoms']","{""Dyshidrotic Eczema introduction"": {""start_time"": 0.0, ""end_time"": 57.0, ""duration"": 57.0}, ""Dyshidrotic Eczema causes"": {""start_time"": 57.0, ""end_time"": 109.0, ""duration"": 52.0}, ""Dyshidrotic Eczema symptoms"": {""start_time"": 109.0, ""end_time"": 181.0, ""duration"": 72.0}, ""Dyshidrotic Eczema treatment options"": {""start_time"": 181.0, ""end_time"": 224.0, ""duration"": 43.0}, ""Dyshidrotic Eczema home remedies and prevention"": {""start_time"": 224.0, ""end_time"": 269.0, ""duration"": 45.0}, ""Thanks, Please like, comment, and subscribe Anatomy note youtube channel"": {""start_time"": 269.0, ""end_time"": 295, ""duration"": 26.0}}"
1bC7uwiw-XE,Can you explain how Leo Fender's vision for the middle pickup aligns with Eric Clapton's usage in 'Layla'?,"['What did Leo Fender want', 'Derek is Eric']","{""Jam"": {""start_time"": 250, ""end_time"": 336, ""duration"": 86}, ""The forgotten Stratocaster sound"": {""start_time"": 74, ""end_time"": 103, ""duration"": 29}, ""Some history"": {""start_time"": 103, ""end_time"": 125, ""duration"": 22}, ""What did Leo Fender want"": {""start_time"": 125, ""end_time"": 160, ""duration"": 35}, ""The most influential Strat player EVER"": {""start_time"": 160, ""end_time"": 198, ""duration"": 38}, ""Cliff Richard"": {""start_time"": 198, ""end_time"": 211, ""duration"": 13}, ""Derek is Eric"": {""start_time"": 211, ""end_time"": 238, ""duration"": 27}, ""Bridge of Sighs"": {""start_time"": 238, ""end_time"": 250, ""duration"": 12}, ""Jerry, Bonnie, Lowell Jimmie and John"": {""start_time"": 336, ""end_time"": 392, ""duration"": 56}, ""The great Sultans of Swing debate"": {""start_time"": 392, ""end_time"": 463, ""duration"": 71}, ""Why should I use the middle pickup"": {""start_time"": 463, ""end_time"": 570, ""duration"": 107}}"
YGuvwohu0u8,What are some of the unique physical features of the iPhone 12 mini's silicone case with MagSafe?,"['Unboxing', 'A Closer Look']","{""Introduction"": {""start_time"": 0, ""end_time"": 26, ""duration"": 26}, ""Unboxing"": {""start_time"": 26, ""end_time"": 135, ""duration"": 109}, ""A Closer Look"": {""start_time"": 135, ""end_time"": 170, ""duration"": 35}, ""Size Comparison"": {""start_time"": 170, ""end_time"": 258, ""duration"": 88}, ""Conclusion"": {""start_time"": 258, ""end_time"": 303, ""duration"": 45}}"
hJclDkKlSmA,"In what way does the click speed matter in first-person shooter games, and how should one hold the mouse for optimal control?","['What Games Can You Use Butterfly Clicking For', 'Getting Used to the Grip/Feel of Butterfly Clicking']","{""Getting Used to the Grip/Feel of Butterfly Clicking"": {""start_time"": 49, ""end_time"": 99, ""duration"": 50}, ""Getting Faster at Butterfly Clicking"": {""start_time"": 99, ""end_time"": 173, ""duration"": 74}, ""What Games Can You Use Butterfly Clicking For"": {""start_time"": 173, ""end_time"": 210, ""duration"": 37}, ""Jitter Clicking VS. Butterfly Clicking"": {""start_time"": 210, ""end_time"": 323, ""duration"": 113}}"
mMn161ZphlE,In what ways does Men In Black: International stay true to its roots with both a global scope as well as maintaining its signature style?,"['Beyond New York', 'The look']","{""Beyond New York"": {""start_time"": 0, ""end_time"": 78, ""duration"": 78}, ""Where are J & K"": {""start_time"": 78, ""end_time"": 109, ""duration"": 31}, ""The new team"": {""start_time"": 109, ""end_time"": 141, ""duration"": 32}, ""Comedy chops and pointed satire"": {""start_time"": 141, ""end_time"": 224, ""duration"": 83}, ""Cool tech"": {""start_time"": 224, ""end_time"": 281, ""duration"": 57}, ""The look"": {""start_time"": 281, ""end_time"": 341, ""duration"": 60}}"
m5KawYraoAM,Can you explain how dendrites contribute to battery failure and if charging only up to 90% can mitigate this issue?,"['Why Have They Recalled These Batteries', 'Will 90% Help']","{""Intro - Hyundai Battery Recall"": {""start_time"": 0, ""end_time"": 25, ""duration"": 25}, ""Models Affected"": {""start_time"": 25, ""end_time"": 122, ""duration"": 97}, ""Lower Risk Of Fault Occurring"": {""start_time"": 122, ""end_time"": 201, ""duration"": 79}, ""Why Have They Recalled These Batteries"": {""start_time"": 201, ""end_time"": 290, ""duration"": 89}, ""Will 90% Help"": {""start_time"": 290, ""end_time"": 372, ""duration"": 82}, ""How & When Will My Car Be Recalled"": {""start_time"": 372, ""end_time"": 477, ""duration"": 105}}"
